date,all_m,all_b,all_r,all_am,all_f,all_s,all_cl,all_mo,all_cr,all_i,all_ar,all_co,all_p,all_ani,all_all,end_m,thrt_m,end_b,thrt_b,end_r,thrt_r,end_am,thrt_am,end_f,thrt_f,end_s,thrt_s,end_cl,thrt_cl,end_mo,thrt_mo,end_cr,thrt_cr,end_i,thrt_i,end_ar,thrt_ar,end_co,thrt_co,end_p,thrt_p,end_ani,thrt_ani,end_all,thrt_all,fires,acres
31-Oct-83,36,68,26,8,43,8,23,31,4,13,,,67,229,296,33,3,65,3,14,12,5,3,31,12,3,5,23,0,26,5,3,1,7,6,,,,,57,10,184,45,241,55,18229,1323666
30-Nov-84,42,76,26,8,50,8,22,30,4,12,,,82,248,330,38,4,72,4,14,12,5,3,33,17,3,5,22,0,25,5,3,1,8,4,,,,,71,11,198,50,269,61,20493,1148409
31-Dec-85,49,79,26,8,64,8,23,31,4,13,,,116,274,390,45,4,74,5,14,12,5,3,41,23,3,5,23,0,26,5,3,1,8,5,,,,,91,25,216,58,307,83,82591,2896147
31-Dec-86,50,82,28,8,70,8,23,31,5,13,,,140,287,427,45,5,77,5,14,14,5,3,43,27,3,5,23,0,26,5,4,1,8,5,,,,,113,27,222,65,335,92,85907,2719162
31-Dec-87,53,85,33,9,74,8,28,36,6,15,,,173,311,484,47,6,75,10,15,18,5,4,43,31,3,5,28,0,31,5,5,1,8,7,,,,,140,33,229,82,369,115,71300,2447296
30-Nov-88,57,86,33,9,77,8,31,39,9,17,3,,201,330,531,50,7,76,10,15,18,5,4,47,30,3,5,31,0,34,5,8,1,10,7,3,0,,,155,46,248,82,403,128,72750,5009290
31-Oct-89,59,86,34,11,81,9,34,43,9,18,3,,218,344,562,51,8,76,10,16,18,6,5,50,31,3,6,34,0,37,6,8,1,11,7,3,0,,,169,49,258,86,427,135,48949,1827310
30-Nov-90,61,85,33,11,87,9,39,48,10,20,3,,239,358,597,53,8,74,11,16,17,6,5,54,33,3,6,37,2,40,8,8,2,11,9,3,0,,,179,60,265,93,444,153,66481,4621621
30-Jun-91,63,85,34,11,86,10,41,51,10,22,3,,250,365,615,55,8,73,12,16,18,6,5,53,33,4,6,39,2,43,8,8,2,13,9,3,0,,,190,60,270,95,460,155,75754,2953578
30-Nov-92,65,86,34,11,91,13,42,55,11,23,3,,370,379,749,56,9,73,13,16,18,6,5,55,36,7,6,40,2,47,8,9,2,14,9,3,0,,,298,72,279,100,577,172,87394,2069929
